Semana,Fecha,CL,CL-AP
1,03-01-16,65361,521
2,10-01-16,56081,471
3,17-01-16,53222,420
4,24-01-16,51609,413
5,31-01-16,47185,319
6,07-02-16,50234,375
7,14-02-16,52239,402
8,21-02-16,52586,395
9,28-02-16,52327,378
10,06-03-16,68941,421
11,13-03-16,101621,565
12,20-03-16,106573,666
13,27-03-16,96031,692
14,03-04-16,94621,662
15,10-04-16,94219,734
16,17-04-16,87787,795
17,24-04-16,100275,814
18,01-05-16,102202,846
19,08-05-16,107559,879
20,15-05-16,111754,902
21,22-05-16,119083,916
22,29-05-16,112947,912
23,05-06-16,131434,1096
24,12-06-16,139759,1054
25,19-06-16,153923,988
26,26-06-16,163429,1011
27,03-07-16,161371,1036
28,10-07-16,149917,1063
29,17-07-16,138607,916
30,24-07-16,129621,880
31,31-07-16,135454,931
32,07-08-16,152952,1107
33,14-08-16,161570,1188
34,21-08-16,148149,1010
35,28-08-16,143412,1013
36,04-09-16,143785,1023
37,11-09-16,126818,961
38,18-09-16,130156,955
39,25-09-16,115528,830
40,02-10-16,109164,768
41,09-10-16,109992,813
42,16-10-16,102280,732
43,23-10-16,94901,655
44,30-10-16,88202,619
45,06-11-16,78268,546
46,13-11-16,76737,530
47,20-11-16,76999,548
48,27-11-16,74308,574
49,04-12-16,74602,577
50,11-12-16,66653,598
51,18-12-16,60687,481
52,25-12-16,60808,455
1,01-01-17,58317,376
2,08-01-17,51133,362
3,15-01-17,48732,322
4,22-01-17,46999,317
5,29-01-17,45890,302
6,05-02-17,47053,359
7,12-02-17,46107,420
8,19-02-17,45495,432
9,26-02-17,43744,385
10,05-03-17,57456,409
11,12-03-17,98352,623
12,19-03-17,109751,805
13,26-03-17,101918,881
14,02-04-17,103128,1079
15,09-04-17,106429,1091
16,16-04-17,101545,1183
17,23-04-17,99441,1101
18,30-04-17,110804,1147
19,07-05-17,111216,1156
20,14-05-17,129743,1202
21,21-05-17,159112,1248
22,28-05-17,170194,1207
23,04-06-17,182673,1251
24,11-06-17,174633,1185
25,18-06-17,168658,1167
26,25-06-17,161225,1080
27,02-07-17,132310,991
28,09-07-17,118837,884
29,16-07-17,103865,726
30,23-07-17,92744,680
31,30-07-17,95362,698
32,06-08-17,111068,851
33,13-08-17,126857,1020
34,20-08-17,120215,1057
35,27-08-17,115113,1042
36,03-09-17,117691,1051
37,10-09-17,111526,1193
38,17-09-17,116540,1205
39,24-09-17,102476,1031
40,01-10-17,94599,1007
41,08-10-17,100549,1054
42,15-10-17,94355,944
43,22-10-17,97041,902
44,29-10-17,92801,831
45,05-11-17,87779,866
46,12-11-17,88712,831
47,19-11-17,87115,774
48,26-11-17,80712,696
49,03-12-17,76282,654
50,10-12-17,70927,534
51,17-12-17,65834,516
52,24-12-17,66768,511
1,31-12-17,57879,412
2,07-01-18,51164,385
3,14-01-18,48630,372
4,21-01-18,45938,319
5,28-01-18,44610,331
6,04-02-18,43762,338
7,11-02-18,47849,362
8,18-02-18,48946,385
9,25-02-18,51466,419
10,04-03-18,63643,515
11,11-03-18,112791,798
12,18-03-18,127611,897
13,25-03-18,107198,797
14,01-04-18,92377,742
15,08-04-18,89286,823
16,15-04-18,90926,788
17,22-04-18,93636,849
18,29-04-18,96485,739
19,06-05-18,94174,771
20,13-05-18,103522,817
21,20-05-18,120199,878
22,27-05-18,106479,816
23,03-06-18,115646,790
24,10-06-18,118401,791
25,17-06-18,131216,1064
26,24-06-18,139864,1108
27,01-07-18,138805,1247
28,08-07-18,133362,1190
29,15-07-18,127349,999
30,22-07-18,108054,1069
31,29-07-18,103851,1200
32,05-08-18,120994,1391
33,12-08-18,144924,1435
34,19-08-18,135448,1166
35,26-08-18,127967,1036
36,02-09-18,125350,917
37,09-09-18,118134,756
38,16-09-18,111908,809
39,23-09-18,99016,678
40,30-09-18,94076,656
41,07-10-18,97929,689
42,14-10-18,104295,767
43,21-10-18,97894,650
44,28-10-18,90433,622
45,04-11-18,87931,585
46,11-11-18,83306,619
47,18-11-18,83310,554
48,25-11-18,80910,513
49,02-12-18,74566,535
50,09-12-18,71017,483
51,16-12-18,64430,417
52,23-12-18,63063,417
1,30-12-18,6462,329
2,06-01-19,50344,270
3,13-01-19,44450,350
4,20-01-19,41854,402
5,27-01-19,39556,338
6,03-02-19,38473,369
7,10-02-19,40464,395
8,17-02-19,40921,427
9,24-02-19,42682,424
10,03-03-19,49688,483
11,10-03-19,82334,593
12,17-03-19,112471,808
13,24-03-19,102276,900
14,31-03-19,41552,394
