"Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
77430.4000073027,68245.0033816549,86615.7966329505,63382.5481268089,91478.2518877965
65126.035646881,50789.0291367436,79463.0421570184,43199.4763405886,87052.5949531735
58847.5429000369,40718.8385252802,76976.2472747936,31122.082125622,86573.0036744518
63679.6672214954,42965.0229640217,84394.3114789691,31999.352680305,95359.9817626857
75938.3193585953,53626.4472913094,98250.1914258811,41815.25567917,110061.383038021
89871.312002754,66687.9430051375,113054.681000371,54415.4087856864,125327.215219822
102945.95428884,79361.0158833401,126530.89269434,66875.9036602242,139016.004917456
109567.952923137,85841.1653011813,133294.740545093,73280.9626387453,145854.943207529
137646.122949539,113890.459321907,161401.786577171,101314.970625426,173977.275273652
156586.60071754,132830.680624334,180342.520810745,120255.056163179,192918.1452719
142613.424298929,118849.826196881,166377.022400978,106270.137243361,178956.711354497
154695.871254058,130910.556646188,178481.185861927,118319.37166891,191072.370839206
