"Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
3701.8309735899,3204.0533438044,4199.6086033754,2940.5457838873,4463.11616329251
3320.09383965826,2651.40346257355,3988.78421674296,2297.42015946375,4342.76751985277
3244.27696036553,2504.32108135599,3984.23283937506,2112.61210036354,4375.94182036752
3302.11225778688,2528.75333669199,4075.47117888176,2119.36185333897,4484.86266223478
3397.23219781368,2607.58821080376,4186.87618482359,2189.57593429817,4604.88846132919
3706.51591085504,2908.79757986819,4504.23424184189,2486.51100385217,4926.52081785791
3606.49495941266,2804.74165408808,4408.24826473724,2380.31909168287,4832.67082714245
3714.18702103417,2910.40961224359,4517.96442982476,2484.91555418764,4943.4584878807
4523.59760013461,3718.80290128767,5328.39229898155,3292.77032240549,5754.42487786374
5105.04060613452,4299.73414747615,5910.34706479289,3873.43065931419,6336.65055295485
4883.38184330731,4077.8178161648,5688.94587044982,3651.37797948353,6115.3857071311
5613.22699548138,4807.53330346492,6418.92068749783,4381.02482634564,6845.42916461712
