"Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
6230.77258569593,5551.78793998164,6909.75723141021,5192.35518023619,7269.18999115566
5361.36698032791,4376.87934521359,6345.85461544223,3855.72307186051,6867.01088879531
4724.54241724888,3544.21764694319,5904.86718755456,2919.39145644725,6529.6933780505
4836.24399150916,3526.78420913926,6145.70377387906,2833.59807256947,6838.88991044884
5580.05976568723,4187.37941098562,6972.74012038885,3450.1389645436,7709.98056683087
5968.59333200845,4525.43927249475,7411.74739152215,3761.47966070828,8175.70700330862
6877.64156853691,5406.9000434804,8348.38309359341,4628.33650959198,9126.94662748183
6648.28807579688,5164.91942751172,8131.65672408205,4379.67149835991,8916.90465323386
8202.99662858978,6715.5689840857,9690.42427309385,5928.17235212895,10477.8209050506
9650.31057754021,8162.45897901197,11138.1621760685,7374.83791935149,11925.7832357289
8857.99179782395,7369.86874062371,10346.1148550242,6582.10397942263,11133.8796162253
9436.99661747393,7946.65601329886,10927.337221649,7157.71735363916,11716.2758813087
