"Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
3007.70682862233,2464.80560698312,3550.60805026155,2177.41106044271,3838.00259680196
2157.1486678521,1346.48836436635,2967.80897133785,917.350721951117,3396.94661375307
2056.6944873164,1035.01206844509,3078.37690618771,494.166065937913,3619.22290869488
2202.72151231426,1062.09583160216,3343.34719302635,458.285069690768,3947.15795493775
3002.82747041796,1776.86273460143,4228.7922062345,1127.87620578003,4877.77873505589
3407.98111755253,2134.64160483181,4681.32063027325,1460.57638400688,5355.38585109818
4008.13088729826,2701.50152503867,5314.76024955786,2009.81372236776,6006.44805222877
4120.66313940893,2795.66736333537,5445.6589154825,2094.25696848885,6147.06931032902
5108.275842803,3770.42095747781,6446.13072812819,3062.20336138548,7154.34832422052
5899.77841443925,4554.85682080835,7244.70000807015,3842.89833530908,7956.65849356942
5221.19016054217,3871.31339237238,6571.06692871195,3156.73179592241,7285.64852516193
5689.80948525009,4337.21928770675,7042.39968279342,3621.20128851296,7758.41768198721
