"Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
3048.45925872179,2647.33661765502,3449.58189978855,2434.99511805698,3661.92339938659
2823.65202375077,2230.6898863832,3416.61416111833,1916.79469183963,3730.50935566191
2667.24324665777,1965.77503574729,3368.71145756825,1594.44019553743,3740.0462977781
2721.1430968961,1958.83362388264,3483.45256990956,1555.29136501891,3886.99482877329
2848.55847877264,2052.06170490638,3645.0552526389,1630.42178216862,4066.69517537667
3096.61993007068,2280.81533535625,3912.42452478512,1848.95446966206,4344.2853904793
3411.88646556961,2585.12464364228,4238.64828749694,2147.46337223768,4676.30955890154
3299.51217180255,2466.5089760024,4132.5153676027,2025.54372084814,4573.48062275696
4078.83968297481,3242.27214390507,4915.40722204456,2799.42003939985,5358.25932654978
4564.73713957164,3726.13062199856,5403.34365714472,3282.19914747351,5847.27513166977
3982.46596115865,3142.69180371254,4822.24011860476,2698.14221797599,5266.78970434131
4372.17189220328,3531.72863618087,5212.61514822568,3086.82485105361,5657.51893335295
