"Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
3533.78378165073,2046.20340425794,5021.36415904352,1258.7259203938,5808.84164290766
3228.33319934127,1152.34211777773,5304.3242809048,53.3788225645558,6403.28757611798
3787.72478928804,1160.11063986018,6415.33893871591,-230.864268389039,7806.31384696513
4262.06437556345,1340.88427337858,7183.24447774832,-205.495062986607,8729.6238141135
4331.27145921714,1239.26251780242,7423.28040063185,-397.548143506643,9060.09106194092
4499,1350.02264912726,7647.97735087274,-316.945266486529,9314.94526648653
4028,879.022649127258,7176.97735087274,-787.945266486529,8843.94526648653
3614,465.022649127258,6762.97735087274,-1201.94526648653,8429.94526648653
3462,313.022649127258,6610.97735087274,-1353.94526648653,8277.94526648653
3506,357.022649127258,6654.97735087274,-1309.94526648653,8321.94526648653
3539,390.022649127258,6687.97735087274,-1276.94526648653,8354.94526648653
3552,403.022649127257,6700.97735087274,-1263.94526648653,8367.94526648653
