Servicio,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Chile,5002704,57546,50934,44840,42063,39974,39080,40834,41495,43361,50190,83282,113568,103639,94662,93695,99911,108224,116452,119362,148468,164903,149031,161312,163753,157710,139643,140548,131533,124069,97688,91948,108149,136709,139117,135183,135087,131364,126889,117687,101411,111313,104131,73410,67813,57484,49463,52926,56617,61568,64482,60217,57966
Arica,46464,329,270,350,402,338,369,395,427,424,483,593,808,900,839,841,872,938,962,1127,1242,1214,1111,1250,1387,1390,1506,1457,1253,900,790,938,1260,1456,1493,1452,1452,1465,1281,1192,1189,1334,1368,1031,814,641,465,449,318,342,408,456,493
Iquique,116702,1277,1151,1110,1085,1036,1050,1073,1154,1089,1178,1757,2421,2440,2479,2421,2512,2663,2585,2764,3089,3293,3176,3704,3799,3669,3275,2981,2516,2248,2483,2625,3075,3831,3345,3456,3471,3397,3294,3108,2579,2658,2496,1834,1581,1228,968,1012,966,970,1042,1032,1256
Antofagasta,144691,1627,1368,1304,1268,1104,1165,1226,1416,1390,1726,2888,3428,3266,3106,2967,2934,2997,2986,2935,3578,4087,3681,3964,4591,4324,4195,3617,3279,2946,2872,3116,4041,4545,4325,4066,4212,4248,4126,3835,3498,3801,3436,2436,1897,1461,1185,1162,1106,1233,1431,1603,1693
Atacama,110927,1225,1041,851,824,839,796,918,989,920,1064,1974,2638,2557,2352,2090,2105,2295,2056,2299,2534,2856,2739,2997,3007,3201,2823,2419,2359,2249,1913,2060,2978,4606,4740,4430,3745,3706,2755,2714,2545,2837,2751,2030,1550,1135,950,908,989,1094,1115,1100,1259
Coquimbo,197135,1837,1672,1643,1433,1360,1364,1475,1723,1634,2092,3674,4597,4225,3819,3729,3512,3988,4164,3930,4956,5680,5587,6341,7334,7080,6294,5679,4969,4838,3662,3179,3776,4788,5128,5207,5201,6122,5497,5624,5075,5068,4650,3171,2606,2206,1922,2144,2182,2456,2576,2173,2093
Valparaíso San Antonio,178955,2249,1974,1814,1728,1604,1680,1931,1955,1767,1906,3268,4492,4124,3717,3464,3739,4241,4253,4920,5670,6184,4977,5332,4903,4556,4449,4546,4691,4534,3705,3462,4442,5314,5606,5346,5099,4931,4220,3997,3660,3804,3554,1821,2017,1654,1386,1528,1430,1729,1845,1921,1816
Viña Del Mar Quillota,201566,1955,1864,1744,1613,1691,1663,1703,1723,1697,2214,3663,5093,4600,3783,3909,4190,4727,5451,5992,7147,7428,6415,6568,6329,6079,5446,5907,5422,5340,4439,3933,4362,5051,5674,5513,5423,5452,4461,4408,3957,4222,3960,2089,2285,1979,1587,1759,1627,1938,2077,1999,2015
Aconcagua,34954,418,347,280,303,298,239,249,273,253,316,511,748,689,672,641,706,722,810,819,938,1018,1019,1148,1357,1248,1023,1050,1037,1049,763,718,851,985,1135,1075,997,901,867,836,754,786,661,325,384,309,259,295,330,344,358,412,428
Metropolitano Norte,265907,3066,2571,2488,2382,2327,2146,2329,2366,2544,2901,4802,6369,5582,5313,5282,5856,6251,6838,7164,9063,9391,8482,8807,8824,8146,7759,8333,8031,7719,5642,5278,5635,6818,7205,6554,6234,5812,5663,5505,4391,4779,4239,3043,2993,2601,2325,2594,2911,3018,3254,3207,3074
Metropolitano Occidente,451925,5551,4882,4084,3884,3752,3810,3770,3693,4107,4929,7608,10675,9624,8720,8497,9378,9993,11374,11389,14788,16198,15271,16354,16018,15059,13196,13614,12928,12751,9440,8495,9553,11681,11993,11263,10672,10359,10403,9418,7742,8711,7500,4779,5123,4334,3744,4187,4703,5400,5797,5463,5268
Metropolitano Central,173538,1984,1788,1716,1432,1404,1419,1503,1514,1623,1829,2543,3599,3293,3078,3045,3421,3647,4124,4165,5437,6473,5969,6588,6326,5981,5255,5497,5251,4995,3772,3518,3923,4906,4931,4564,4251,3893,3839,3631,3064,3433,2948,1691,1902,1629,1355,1555,1780,2001,2139,1997,1917
Metropolitano Oriente,162023,1770,1689,1456,1364,1396,1269,1230,1226,1320,1445,2377,3388,3233,2953,3068,3115,3424,3972,3863,5142,5763,5193,5766,5863,5486,5128,5335,5173,4688,3388,3130,3526,4338,4396,4108,3840,3660,3807,3566,2887,3232,2779,1963,1989,1777,1567,1743,1666,1929,1957,1793,1887
Metropolitano Sur,371453,4702,4150,3502,3246,3227,3186,3171,3242,3387,3851,5913,8624,7658,7045,7128,7863,8634,9904,9907,12206,13632,11924,12810,12358,11854,10272,10896,10303,10775,7417,7225,7841,9954,10100,9552,8871,8084,8715,7649,6392,7254,6418,3584,4365,3640,3219,3700,4013,4454,4755,4459,4422
Metropolitano Suroriente,449891,4952,4514,4045,3614,3462,3506,3539,3559,4033,4664,7573,10751,9474,8452,9067,9581,10577,12264,12174,15755,16605,14828,16346,15425,15276,13622,14952,13696,13240,9306,8759,9764,11970,11756,10903,10616,9757,9394,8975,7527,9104,7719,4512,4939,4119,3625,3913,4422,4876,4878,4845,4666
Libertador B. O'Higgins,223667,2343,2104,1856,1695,1745,1729,1741,1629,1844,1943,3316,4645,4059,3823,3740,4474,4809,5255,5518,6738,7461,6779,7479,7553,7026,6129,5989,5362,5051,4276,5075,6148,6938,5919,6141,5761,5700,6395,5533,4606,4888,4571,3396,2931,2606,2404,2474,2694,2968,3022,2819,2567
Del Maule,344801,4198,3578,3044,2974,2759,2675,2957,2875,3126,3994,6422,8061,7468,6841,6900,7397,7420,7967,7479,9449,11048,9841,10607,10863,10907,9930,9494,8749,7161,6161,6790,7828,8848,7745,7868,8079,8169,8528,7643,6980,7567,7142,6450,5706,4830,4151,4548,4956,5020,5052,4465,4091
Ñuble,131885,1536,1349,1182,1133,1029,991,1069,1031,1137,1158,1775,2529,2394,2236,2319,2374,2600,2736,2662,3315,3931,3347,3868,4381,4315,3420,3112,3012,2946,2434,2146,2695,3766,4132,3780,4234,3893,3843,3402,2910,3096,3070,2446,2089,1918,1797,1895,2097,2147,1960,1732,1516
Concepción,293759,3603,3062,2601,2437,2244,2151,2199,2129,2111,2605,5121,6835,5948,5410,5156,5645,6100,6191,6183,7494,8845,7787,8702,8863,9383,8205,8633,7981,7254,6169,4855,6320,8780,9287,8700,8779,8288,8199,7467,6186,6799,6739,4750,4235,3339,2940,3048,3408,3512,3919,3667,3495
Talcahuano,171761,2186,1893,1487,1460,1321,1322,1283,1231,1379,1574,3093,4369,3861,3335,3212,3258,3579,3560,3569,4594,5556,4419,4645,4881,4924,4147,4253,3957,3763,3152,2797,3714,5128,5624,5365,5569,5026,5162,4533,3803,3992,4097,2853,2419,2003,1597,1783,2019,2152,2441,2308,2113
Bíobío,150774,1574,1497,1317,1128,1065,1000,1109,1081,1125,1242,1925,2780,2894,2643,2526,2603,2754,2972,3129,3816,4567,3928,4278,4463,4257,3491,3530,3490,3446,2787,2291,2875,3867,3612,3970,4549,4599,4786,4269,3704,4305,4232,3763,3244,2683,2321,2299,2405,2390,2371,2052,1770
Araucanía Sur,69246,891,854,709,629,575,552,604,615,567,721,1026,1191,1159,1053,1175,1204,1417,1462,1540,1921,2272,2090,2238,2180,2279,1858,1836,1779,1714,1285,1112,1245,1569,1430,1515,1903,2148,2051,1722,1522,1635,1451,1303,1125,1083,912,962,905,992,1338,986,941
Valdivia,156515,1891,1675,1418,1360,1241,1165,1246,1370,1489,1631,2520,3149,2917,2652,2740,3020,3249,3303,3492,4456,4910,4554,4573,4879,4789,4231,4043,3647,3170,2668,2310,2552,3525,3948,4421,4853,5007,4507,4217,3647,3764,3980,2887,2540,2168,1934,1897,2091,2283,2335,2139,2062
Osorno,85750,991,961,717,714,713,584,660,738,693,779,1480,2005,1843,1725,1563,1508,1572,1582,1597,1859,2070,2077,2541,2775,2691,2330,2166,1956,1730,1259,1214,1430,2234,2418,2792,3151,3037,2716,2593,2090,2172,2242,1627,1351,1276,994,986,1021,1170,1215,1083,1059
Del Reloncaví,158479,2082,1779,1468,1454,1236,1166,1266,1318,1407,1428,2855,3717,3057,2926,2997,2910,3308,2923,2942,3513,4205,4465,5136,5281,5069,4322,4395,3966,3478,2830,2360,2387,3533,3614,4117,4737,4726,4152,4216,3798,4159,4324,3272,2548,2268,1896,2026,2085,2316,2590,2241,2215
Aisén,32696,339,345,313,300,251,227,185,198,237,275,528,746,737,669,640,664,755,782,971,982,843,852,904,917,938,934,723,667,479,362,444,642,888,883,782,809,728,716,724,736,965,1150,956,710,650,521,480,490,442,471,383,363
Magallanes,64300,656,568,561,484,490,430,434,466,473,538,1129,1441,1416,1399,1473,1468,1532,1703,1972,2363,1962,1846,1824,1970,1831,1764,1539,1460,1110,910,906,1129,1383,1836,1760,1912,1957,1565,1561,1535,1454,1456,1127,981,787,729,782,952,969,876,749,682
Arauco,57070,633,528,470,496,385,419,420,428,394,481,752,1340,1124,1005,877,963,1075,1246,1360,1753,1817,1866,1759,1419,1376,1147,1233,1148,1097,1007,902,1276,2031,2214,2070,1900,1801,1600,1414,1273,1379,1307,1173,806,773,617,656,757,780,825,719,779
Araucanía Norte,103540,983,876,766,740,621,617,719,685,700,735,1403,2094,2119,1806,1421,1702,1906,1960,2342,3033,3786,3090,3094,4316,3209,2381,2262,2417,2415,1860,1446,1852,2644,3180,3020,3330,3056,2881,2663,2163,2791,2507,1948,1800,1561,1380,1423,1571,1933,1633,1560,1140
Chiloé,52330,698,584,544,481,461,390,430,441,491,488,793,1035,978,811,807,937,1051,1067,1158,1637,1808,1718,1689,1491,1367,1111,1057,1034,983,936,864,1029,1332,1448,1393,1437,1442,1466,1272,1198,1324,1384,1150,883,826,713,718,723,710,802,854,886
