Servicio,Total,1,2,3,4,5,6,7,8,9,10,11
Chile,497218,52839,47911,42543,39774,39605,39861,40350,42488,44710,50426,56711
Arica,4717,430,396,398,376,450,419,433,426,401,526,462
Iquique,12108,1167,1036,1018,967,900,982,905,948,1073,1233,1879
Antofagasta,15571,1528,1292,1294,1104,1130,1342,1362,1300,1404,1855,1960
Atacama,10937,1254,1067,967,918,867,856,850,846,1036,1169,1107
Coquimbo,18044,1760,1600,1470,1362,1258,1232,1449,1814,1874,2244,1981
Valparaíso San Antonio,20946,1908,1846,1636,1714,1721,1780,1818,2162,2297,2027,2037
Viña Del Mar Quillota,19407,1984,1886,1649,1609,1402,1573,1767,1778,1870,1964,1925
Aconcagua,3369,376,323,299,262,270,282,285,294,326,329,323
Metropolitano Norte,23277,2474,2181,2159,1869,1839,1736,1834,1812,2054,2330,2989
Metropolitano Occidente,44497,4950,4514,3967,3538,3514,3579,3427,3682,3899,4571,4856
Metropolitano Central,17901,1889,1756,1593,1447,1503,1402,1493,1444,1471,1843,2060
Metropolitano Oriente,15635,1741,1545,1436,1326,1338,1259,1249,1127,1267,1514,1833
Metropolitano Sur,39108,4129,3898,3484,3103,3136,3215,3070,3035,3209,3842,4987
Metropolitano Suroriente,43239,4655,4359,3841,3622,3482,3341,3395,3548,3594,4318,5084
Libertador B. O'Higgins,22208,2237,2137,1886,1880,1799,1923,1954,2043,1991,2201,2157
Del Maule,37940,3756,3616,3156,3037,2998,3006,3127,3349,3340,3727,4828
Ñuble,12850,1302,1216,1085,1012,1112,1015,1067,1138,1264,1346,1293
Concepción,28473,2972,2821,2405,2386,2311,2337,2201,2329,2403,2878,3430
Talcahuano,15105,1767,1604,1215,1144,1202,1162,1220,1271,1457,1507,1556
Bíobío,14532,1361,1430,1215,1073,1205,1251,1232,1355,1467,1623,1320
Araucanía Sur,6849,879,560,439,406,666,705,718,815,823,552,286
Valdivia,15145,1819,1644,1234,1163,1185,1154,1164,1330,1329,1389,1734
Osorno,8031,957,852,663,631,674,657,593,655,643,771,935
Del Reloncaví,17311,2053,1441,1502,1243,1295,1212,1332,1438,1572,1876,2347
Aisén,2992,360,317,277,275,282,276,208,240,202,256,299
Magallanes,6956,652,643,635,689,546,560,522,575,586,652,896
Arauco,5652,640,557,473,526,481,505,551,449,500,515,455
Araucanía Norte,8371,1141,763,599,583,610,640,606,774,860,827,968
Chiloé,6047,698,611,548,509,429,460,518,511,498,541,724
